iter	Passed	Remaining
0	204	614351
1	378	568044
2	532	531493
3	683	511832
4	832	498483
5	994	496418
6	1163	497370
7	1320	493868
8	1507	500996
9	1675	501021
10	1807	491257
11	1963	488823
12	2331	535700
13	2474	527809
14	2676	532584
15	2897	540369
16	3059	536868
17	3246	537837
18	3390	531945
19	3526	525448
20	3678	521788
21	3826	517912
22	3990	516485
23	4131	512337
24	4302	511946
25	4453	509443
26	4600	506555
27	4747	503921
28	4897	501740
29	5028	497780
30	5193	497378
31	5360	497170
32	5503	494800
33	5654	493230
34	5805	491805
35	5997	493768
36	6187	495530
37	6354	495345
38	6515	494669
39	6676	494025
40	6870	495883
41	7036	495559
42	7256	498987
43	7435	499548
44	7589	498360
45	7760	498347
46	7938	498802
47	8175	502782
48	8348	502796
49	8522	502803
50	8743	505576
51	8965	508249
52	9158	509257
53	9376	511523
54	9556	511693
55	9686	509219
56	9858	508995
57	10107	512703
58	10276	512278
59	10439	511533
60	10619	511657
61	10766	510209
62	10920	509103
63	11086	508601
64	11280	509340
65	11451	509091
66	11607	508149
67	11771	507546
68	11926	506601
69	12080	505658
70	12275	506424
71	12455	506515
72	12725	510258
73	12912	510583
74	13117	511582
75	13455	517679
76	13677	519223
77	13883	520098
78	14120	522085
79	14399	525599
80	14574	525208
81	14774	525761
82	15186	533730
83	15393	534375
84	15585	534492
85	15753	533787
86	15936	533600
87	16096	532646
88	16256	531700
89	16420	530936
90	16578	529969
91	16766	529982
92	16937	529420
93	17142	529969
94	17301	529066
95	17455	528032
96	17690	529446
97	17869	529161
98	18066	529409
99	18259	529534
100	18395	527999
101	18525	526350
102	18684	525517
103	18868	525419
104	19085	526212
105	19239	525261
106	19413	524902
107	19567	523974
108	19739	523542
109	19923	523451
110	20105	523279
111	20280	522958
112	20449	522465
113	20599	521502
114	20811	522099
115	21004	522222
116	21151	521202
117	21314	520584
118	21506	520679
119	21686	520484
120	21857	520069
121	22033	519781
122	22213	519571
123	22392	519354
124	22549	518631
125	22703	517864
126	22854	517024
127	23040	516969
128	23203	516412
129	23413	516907
130	23589	516629
131	23811	517357
132	24014	517659
133	24166	516880
134	24356	516904
135	24509	516138
136	24664	515440
137	24795	514234
138	24936	513254
139	25100	512763
140	25250	511996
141	25387	510969
142	25540	510276
143	25704	509805
144	25858	509141
145	26032	508891
146	26175	508020
147	26309	506982
148	26492	506913
149	26637	506110
150	26795	505569
151	26945	504876
152	27092	504130
153	27217	502993
154	27387	502695
155	27560	502451
156	27701	501625
157	27898	501812
158	28084	501809
159	28295	502251
160	28441	501521
161	28586	500801
162	28759	500555
163	28953	500688
164	29099	499974
165	29238	499176
166	29380	498416
167	29535	497881
168	29715	497771
169	29863	497144
170	30008	496458
171	30142	495595
172	30305	495227
173	30447	494515
174	30604	494045
175	30749	493394
176	31065	495474
177	31238	495249
178	31435	495417
179	31597	495033
180	31746	494438
181	31896	493872
182	32066	493614
183	32226	493212
184	32372	492583
185	32559	492586
186	32737	492462
187	32893	492008
188	33040	491412
189	33179	490710
190	33377	490881
191	33530	490379
192	33701	490161
193	33875	489968
194	34028	489490
195	34183	489031
196	34373	489076
197	34499	488214
198	34626	487382
199	34777	486889
200	34947	486653
201	35135	486685
202	35291	486261
203	35482	486316
204	35677	486426
205	35818	485815
206	35979	485466
207	36127	484939
208	36309	484879
209	36457	484364
210	36618	484019
211	36780	483703
212	36950	483482
213	37145	483583
214	37365	484013
215	37512	483493
216	37655	482927
217	37805	482453
218	37954	481971
219	38140	481957
220	38302	481642
221	38446	481095
222	38579	480428
223	38760	480354
224	38901	479780
225	39057	479408
226	39235	479300
227	39430	479394
228	39555	478635
229	39753	478766
230	39898	478268
231	40046	477791
232	40188	477259
233	40350	476966
234	40485	476356
235	40628	475840
236	40808	475753
237	40971	475479
238	41122	475063
239	41362	475669
240	41614	476410
241	41755	475874
242	41930	475734
243	42120	475750
244	42277	475406
245	42451	475253
246	42604	474857
247	42789	474820
248	42962	474655
249	43121	474340
250	43296	474195
251	43454	473864
